,x,y,z
841,133589.83225,1415596.5122,96.9168
842,133590.1403,1415596.4329000001,96.9168
843,133590.75944999998,1415596.2804,96.88019999999999
844,133591.05225,1415596.21025,96.93205
845,133591.3603,1415596.1339999998,96.92290000000001
846,133591.97335000001,1415595.9754,96.87105
847,133593.18115,1415595.6886999998,96.96560000000001
848,133593.4892,1415595.61245,96.9717
849,133594.12055,1415595.4477499998,96.86800000000001
850,133594.42554999999,1415595.37455,96.87715
851,133594.71835,1415595.3044,96.92290000000001
852,133595.0264,1415595.2312,96.93509999999999
853,133595.32225,1415595.16105,96.96255000000001
854,133595.94444999998,1415594.9994,96.9046
855,133596.2403,1415594.93535,96.98085
856,133596.5636,1415594.8469,96.9168
857,133598.09165000002,1415594.47785,96.97779999999999
858,133598.7047,1415594.3284,96.97779999999999
859,133599.01885,1415594.2491,96.9473
860,133599.1134,1415594.06,96.93509999999999
861,133598.49120000002,1415594.2125,96.9534
862,133598.17705,1415594.28875,96.95644999999999
863,133597.86595,1415594.36805,96.98085
864,133597.56704999998,1415594.43515,96.9534
865,133596.9479,1415594.5876500001,96.94120000000001
866,133596.64595,1415594.6608499999,96.92290000000001
867,133595.7096,1415594.89265,96.9717
868,133594.18155,1415595.26475,96.929
869,133593.8735,1415595.33795,96.90154999999999
870,133592.9463,1415595.56365,96.9107
871,133592.3302,1415595.71615,96.90765
872,133591.7202,1415595.86255,96.88019999999999
873,133591.41825000002,1415595.9326999998,96.86495000000001
874,133589.88715,1415596.3109,96.8741
875,133589.5791,1415596.3871499998,96.90154999999999
876,133587.74300000002,1415596.8355,96.8741
877,133587.1269,1415596.9880000001,96.91985
878,133586.51385,1415597.1405000002,96.929
879,133586.2058,1415597.2167500001,96.929
880,133585.90385,1415597.2869,96.9046
881,133585.6019,1415597.3601000002,96.88935000000001
882,133585.29690000002,1415597.43025,96.88325
883,133584.99495,1415597.50955,96.88935000000001
884,133584.68385,1415597.5888500002,96.929
885,133584.3697,1415597.66815,96.95035
886,133583.77495,1415597.8054,96.8741
887,133583.4669,1415597.8847,96.9107
888,133583.15885,1415597.96095,96.92290000000001
889,133582.55495,1415598.1073500002,96.90154999999999
890,133581.0269,1415598.47945,96.9107
891,133580.728,1415598.5557000001,96.90154999999999
892,133580.42604999998,1415598.6228,96.8924
893,133579.8191,1415598.7752999999,96.89545
894,133579.51715,1415598.8485,96.88935000000001
895,133579.2091,1415598.92475,96.90154999999999
896,133578.90714999998,1415598.99795,96.90154999999999
897,133576.18655,1415599.6598,96.86189999999999
